#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-10188.058888694584,249.41907668807312
2000,-10026.992482444584,280.8500572758463
3000,-9723.558888694584,278.062162834346
4000,-9776.129201194584,278.0117583961282
5000,-9620.129201194584,299.3426403182682
6000,-9699.644826194584,273.87854524374745
7000,-9689.121388694584,276.9979559116314
8000,-9747.262013694584,302.00193175989045
9000,-9880.492482444584,287.07453827215454
10000,-9776.828419944584,297.32323365977805
11000,-9598.129201194584,276.27153725678244
12000,-9574.129201194584,290.0263369795169
13000,-9812.082326194584,305.65490182651064
14000,-9733.215138694584,282.8134120034861
15000,-9840.578419944584,294.3478988324474
16000,-9856.238576194584,297.3975185086692
17000,-9524.332326194584,287.9121400371903
18000,-9575.640919944584,293.43753146059953
19000,-9606.418263694584,313.3630668305401
20000,-9551.742482444584,290.73073183367353
21000,-9807.777638694584,299.3282786338468
22000,-9730.191701194584,297.1582900251754
23000,-9764.402638694584,308.7950331509121
24000,-9518.914357444584,291.47241534807137
25000,-9658.847951194584,292.4289512551221
26000,-9769.933888694584,286.0069292633533
27000,-9873.582326194584,292.9807979081979
28000,-9778.847951194584,285.14695481148493
29000,-9677.207326194584,299.82497429569287
30000,-9707.519826194584,301.9569447973829
31000,-9617.051076194584,293.57384421437877
32000,-9815.387013694584,275.6818209258401
33000,-9697.590138694584,289.8560986406068
34000,-9650.312794944584,287.2236589921898
35000,-9549.433888694584,272.86493939504396
36000,-9591.265919944584,304.6859778462483
37000,-9706.496388694584,289.11211509224205
38000,-9766.590138694584,310.25001831927096
39000,-9826.215138694584,288.6427417523085
40000,-9803.058888694584,295.66255819919
41000,-9766.152638694584,264.46933589219026
42000,-9730.019826194584,279.3861520602998
43000,-9750.347951194584,285.5533225325587
44000,-9699.660451194584,291.7760043766323
45000,-9759.437794944584,301.40697540717093
46000,-9777.222951194584,300.941532430113
47000,-9733.082326194584,279.5105984585641
48000,-9762.113576194584,297.3105345828597
49000,-9638.855763694584,290.4567590744015
50000,-9690.871388694584,304.81015668908225
