#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-123522.39679505338,244.5014759537329
2000,-118169.99054505338,279.79129724184054
3000,-115909.27179505338,289.3614309858215
4000,-115115.42804505338,287.8548820605343
5000,-114902.95929505338,300.6016203475184
6000,-114816.45929505338,290.6046621512843
7000,-114910.02179505338,289.5992559048378
8000,-115565.74054505338,289.77404464344653
9000,-114933.67804505338,298.8310077531607
10000,-115259.55304505338,294.0071283421053
11000,-115596.08429505338,292.1480312724243
12000,-115141.49054505338,299.14112216339026
13000,-115154.20929505338,292.1064805307311
14000,-115315.80304505338,295.8077423503083
15000,-115408.83429505338,291.5362450306381
16000,-115651.70929505338,290.2609509924018
17000,-115154.45929505338,294.64324046766745
18000,-115419.99054505338,294.54536677024197
19000,-115650.58429505338,289.2519346986515
20000,-115877.08429505338,292.1475386090413
21000,-115602.30304505338,298.33171843695175
22000,-115279.95929505338,287.0474270930957
23000,-115246.14679505338,291.1763950473834
24000,-115759.02179505338,291.8138857676315
25000,-115279.83429505338,288.64248802270976
26000,-115549.58429505338,296.1993632038439
27000,-115447.67804505338,291.6516922437131
28000,-115015.02179505338,293.54600698728376
29000,-114892.33429505338,291.96688997046215
30000,-114783.02179505338,292.8710799426928
31000,-115043.92804505338,297.80700831238204
32000,-115557.64679505338,293.504590477787
33000,-115306.89679505338,290.85644366484865
34000,-114912.89679505338,294.5949154589509
35000,-115318.27179505338,294.5220469848603
36000,-115808.30304505338,299.5233017124368
37000,-115443.64679505338,291.6906405315951
38000,-116231.99054505338,288.34101058991206
39000,-115498.49054505338,297.7557125330954
40000,-115400.52179505338,291.4832802985353
41000,-115201.95929505338,291.7608419343089
42000,-115631.02179505338,295.1032361873737
43000,-116091.05304505338,294.77910490279476
44000,-115740.49054505338,297.6501557733297
45000,-114961.58429505338,288.94539574780947
46000,-114952.20929505338,294.4275471044185
47000,-115214.45929505338,290.0190555360955
48000,-115817.95929505338,294.9301608628174
49000,-115125.64679505338,295.31220748699445
50000,-114621.52179505338,295.7354888330114
