#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-13663.52435038818,257.1934773374495
2000,-13255.42669413818,271.33269496981694
3000,-13069.80950663818,281.75147035159284
4000,-12951.98528788818,285.2726767063653
5000,-12860.49310038818,300.1181672917393
6000,-12631.62200663818,293.3669037463567
7000,-12946.29388163818,297.1128400083813
8000,-12787.23919413818,285.5869795646005
9000,-12819.42669413818,291.78127337626637
10000,-12614.95794413818,286.2404571255536
11000,-12799.86810038818,283.4460406428909
12000,-12931.72747538818,303.46170515469737
13000,-12835.82513163818,283.99366466466597
14000,-12858.48919413818,305.87446972992336
15000,-12868.91106913818,308.39433498183257
16000,-12938.30950663818,316.3434856746773
17000,-12767.06731913818,310.5048667241152
18000,-12560.93450663818,289.48356667948036
19000,-12890.53216288818,286.54359182237357
20000,-12904.68841288818,293.93448793926433
21000,-12860.55950663818,295.8939089583015
22000,-12915.18450663818,295.1698121146453
23000,-12950.81731913818,287.6994954862926
24000,-12960.64544413818,284.00057232098254
25000,-12913.84856913818,310.1836839300908
26000,-12896.50872538818,300.25970938091075
27000,-12780.05169413818,281.3810730836387
28000,-12809.11028788818,281.0526065541914
29000,-12776.59466288818,283.97617686475303
30000,-12615.50872538818,301.2670390111776
31000,-12517.05950663818,294.9525290714782
32000,-12794.87591288818,305.0867506110933
33000,-12873.23138163818,308.093595861082
34000,-12854.09075663818,303.07167668691505
35000,-12758.31731913818,301.8676098668616
36000,-12670.10638163818,290.5571931961246
37000,-12634.32513163818,291.48913596597913
38000,-12656.80950663818,287.7468468660037
39000,-12822.59075663818,296.76791729712363
40000,-13011.79778788818,288.1564722201837
41000,-12788.98528788818,278.4648250415719
42000,-12794.40325663818,301.75073527099664
43000,-12820.61419413818,289.2148010039227
44000,-12776.86810038818,284.08940524804314
45000,-12828.46575663818,286.0928411800988
46000,-12813.75481913818,288.99235638835495
47000,-12686.81341288818,299.78708057636663
48000,-12659.00872538818,303.45302763392976
49000,-12579.12200663818,289.8231222594502
50000,-12769.41888163818,292.0672549183989
