#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-128440.9551283652,240.91788907927335
2000,-123208.2676283652,277.0683286476042
3000,-121719.2051283652,288.7741691121008
4000,-120496.9551283652,292.8838652967823
5000,-120477.5801283652,294.000175032105
6000,-120423.3301283652,294.92860101691747
7000,-120383.7051283652,290.77293081820704
8000,-120932.2676283652,288.62126555930166
9000,-120431.8301283652,293.7626324109224
10000,-120355.0801283652,297.69123739514373
11000,-121163.3926283652,292.29179087548493
12000,-120346.7051283652,284.83235606375655
13000,-120693.3926283652,288.53307218329866
14000,-120752.0801283652,291.83632594960307
15000,-120674.5176283652,289.7693316841296
16000,-120846.2051283652,294.0829991828851
17000,-120836.1426283652,295.6106424624217
18000,-121126.7051283652,289.54796058538045
19000,-120278.3301283652,291.12421263593444
20000,-121207.5801283652,292.31397637004665
21000,-120224.7676283652,290.1874226452792
22000,-120798.2051283652,296.5338846260175
23000,-120652.8301283652,291.27291401887624
24000,-120787.8301283652,291.8453907799993
25000,-120161.3301283652,294.95322816253076
26000,-120747.9551283652,294.71037285824565
27000,-121168.7051283652,294.32284780609046
28000,-120171.9551283652,293.9574755303569
29000,-120212.8301283652,299.9842206050855
30000,-120326.8301283652,295.25955907036166
31000,-120167.3926283652,294.7809256825901
32000,-119958.2051283652,289.0689963069232
33000,-120557.5801283652,293.32988140461487
34000,-120394.7051283652,291.60775864682887
35000,-120567.0801283652,291.6884585624943
36000,-121161.6426283652,292.6516066644908
37000,-120617.2051283652,290.8998656079771
38000,-120945.8301283652,290.2742192589426
39000,-120144.7051283652,297.7303207921255
40000,-120473.4551283652,297.427654655703
41000,-120231.6426283652,289.74975702324616
42000,-120494.4551283652,298.3822125680277
43000,-120055.7676283652,291.5739472913348
44000,-120250.8926283652,297.30701402462876
45000,-119846.5176283652,296.7894265805516
46000,-120306.6426283652,297.98691143056334
47000,-120055.2676283652,296.3014601618835
48000,-120451.0801283652,297.84996139190434
49000,-120318.3301283652,296.24872559429235
50000,-120463.2051283652,297.33971471151654
