#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-13302.934512132546,245.646266829473
2000,-12831.668887132546,277.7748587871907
3000,-12595.743105882546,280.1954330459877
4000,-12604.934512132546,285.0892867883011
5000,-12640.102480882546,292.92624940105907
6000,-12386.711855882546,291.98182156488906
7000,-12378.844668382546,300.70351716189674
8000,-12659.700137132546,304.23458698138984
9000,-12581.825137132546,309.411539076184
10000,-12580.129824632546,305.2609144283815
11000,-12385.239199632546,280.82337444774333
12000,-12463.750918382546,297.9941531032567
13000,-12394.020449632546,296.03220334002333
14000,-12429.942324632546,298.030232924114
15000,-12647.161074632546,289.6607912803028
16000,-12476.332949632546,282.26994489711547
17000,-12515.329043382546,284.12312770224406
18000,-12493.403262132546,278.19421623193784
19000,-12566.793887132546,280.4101249280604
20000,-12498.098574632546,282.4303939414498
21000,-12443.465762132546,292.9256602194589
22000,-12438.653262132546,302.23146494406245
23000,-12562.465762132546,296.6054542624541
24000,-12644.172793382546,278.957681003526
25000,-12457.528262132546,285.85549451311203
26000,-12484.032168382546,297.51771197169376
27000,-12299.395449632546,307.79428106820683
28000,-12558.778262132546,304.4578450898791
29000,-12516.379824632546,306.1091326746296
30000,-12447.262637132546,294.7247237695707
31000,-12446.325137132546,295.25043943483445
32000,-12449.957949632546,291.4635440694823
33000,-12454.895449632546,287.70654608352777
34000,-12393.477480882546,288.8646802035466
35000,-12523.079043382546,296.71901212522465
36000,-12431.747012132546,300.35833358822936
37000,-12542.997012132546,289.4719473510567
38000,-12601.446230882546,299.55227052767856
39000,-12273.774355882546,296.621654521441
40000,-12391.922793382546,304.10731891744217
41000,-12478.872012132546,291.2846069000232
42000,-12502.106387132546,307.2754300766293
43000,-12312.946230882546,294.1798716644197
44000,-12553.739199632546,282.4233104657801
45000,-12625.004824632546,293.64006267727433
46000,-12663.286074632546,294.4523522973581
47000,-12417.411074632546,293.70479967307415
48000,-12643.438418382546,296.50075145860944
49000,-12593.465762132546,306.25961230560114
50000,-12426.817324632546,283.33637122266146
