#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-127514.43274635519,250.567888377487
2000,-121883.46399635519,278.59333162873554
3000,-119765.74524635519,294.0049564831225
4000,-120354.49524635519,295.91209686532045
5000,-120214.30774635519,291.2265911251742
6000,-120201.99524635519,292.1692688196839
7000,-119708.37024635519,302.5880978712139
8000,-119422.62024635519,294.245562652783
9000,-119935.18274635519,294.6779308993387
10000,-119618.49524635519,289.8835169792258
11000,-119914.74524635519,288.5013443559685
12000,-119581.12024635519,295.66886812127376
13000,-119305.43274635519,293.48321549735556
14000,-119911.87024635519,298.06185206661024
15000,-120141.37024635519,290.1637678591873
16000,-120290.49524635519,294.5050884193257
17000,-119862.99524635519,295.3518471854543
18000,-119664.37024635519,297.36598335700165
19000,-120320.30774635519,288.72375820225625
20000,-119597.30774635519,290.8328797619958
21000,-119185.37024635519,288.75932268537156
22000,-118911.18274635519,294.9924994046584
23000,-119745.30774635519,295.0272393562553
24000,-119305.93274635519,297.17675011730154
25000,-119950.68274635519,297.2947480871774
26000,-119992.24524635519,294.52493053393295
27000,-119307.18274635519,293.31061091782453
28000,-119400.68274635519,291.82289327126284
29000,-119609.30774635519,293.3538227666171
30000,-119746.62024635519,295.10452374235473
31000,-119853.68274635519,291.65010862711824
32000,-119269.99524635519,290.5869073974013
33000,-119209.24524635519,294.5320973358711
34000,-119691.12024635519,289.80174546092843
35000,-119312.99524635519,288.8683945250695
36000,-119853.99524635519,298.07407534459537
37000,-119651.49524635519,295.01526887293676
38000,-119569.68274635519,292.1461926430089
39000,-119964.68274635519,294.65477216823035
40000,-119964.05774635519,297.88284319010336
41000,-119385.37024635519,300.0407860294439
42000,-119270.55774635519,293.6808572047839
43000,-119697.12024635519,296.73662119833074
44000,-119441.49524635519,293.6434360516862
45000,-119765.93274635519,292.3614676628417
46000,-119262.12024635519,295.68718853140575
47000,-119735.93274635519,291.8662185172817
48000,-120105.18274635519,290.76758355031507
49000,-119773.87024635519,293.53328376203206
50000,-119606.05774635519,288.8344441967512
