#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-11561.941271508746,242.98068565616623
2000,-11127.597521508746,288.3337516337453
3000,-11207.042834008746,283.68799082919327
4000,-10897.687365258746,297.9692372126009
5000,-10882.562365258746,297.7157995012247
6000,-10911.874865258746,302.2574631805064
7000,-10941.613146508746,308.2991797410435
8000,-10861.492052758746,291.8801125176246
9000,-10802.523302758746,289.0581681870462
10000,-11114.370959008746,305.2255298898072
11000,-11003.363146508746,279.2896996169872
12000,-10962.937365258746,293.2496880483707
13000,-10926.441271508746,303.2389312813299
14000,-10855.441271508746,282.6250622264613
15000,-10924.120959008746,295.10388407938854
16000,-10998.507677758746,287.59819203649636
17000,-10835.870959008746,286.375497569999
18000,-10957.960802758746,292.53778549118266
19000,-10964.199084008746,277.1603840810713
20000,-11025.683459008746,289.83052924913494
21000,-11095.335802758746,296.45800243196794
22000,-11024.605334008746,292.3697340207799
23000,-10935.144396508746,288.52300775788507
24000,-10789.527209008746,285.7338337405739
25000,-10875.558459008746,305.9945999850437
26000,-11025.074084008746,303.46049212601645
27000,-11022.222521508746,302.30050424973047
28000,-11066.175646508746,283.965465243324
29000,-10965.175646508746,300.3313639774987
30000,-10896.402209008746,300.971017957084
31000,-10830.136584008746,301.42241278466975
32000,-10929.277209008746,303.54488969029177
33000,-10842.464709008746,291.3543163700091
34000,-10977.464709008746,284.6061386743504
35000,-10881.038927758746,275.3768905668751
36000,-10742.652209008746,286.80985963575137
37000,-10855.988146508746,288.52860440124175
38000,-10878.425646508746,302.4704765107477
39000,-10795.027209008746,295.56263793957476
40000,-10897.206896508746,298.99388962586175
41000,-10971.316271508746,315.8204755204179
42000,-10895.035021508746,299.1390937585617
43000,-11078.964709008746,290.5419546942475
44000,-10998.160021508746,292.4688843100525
45000,-11059.128771508746,289.4699825805336
46000,-11083.570177758746,303.5085816410209
47000,-11075.917834008746,296.71029462584386
48000,-11103.863146508746,283.1784812205981
49000,-11144.171740258746,298.5101986723932
50000,-11009.277209008746,301.8946989635069
